Symbol,Price to Earnings,Earnings Per Share,Dept to Equity,Price to Book,Price to 52W Range
AEFES,0.73,0.23,0.78,0.89,0.34
AKBNK,0.94,0.16,0.63,0.94,0.8
AKSA,0.83,0.18,0.76,0.75,0.2
AKSEN,0.76,0.1,0.84,0.89,0.08
AKSGY,0.88,-0.07,0.84,0.95,0.89
ALARK,0.92,0.23,0.98,0.84,0.33
ALBRK,0.89,-0.0,0.32,0.94,0.74
ALGYO,0.94,0.5,1.0,0.91,0.43
ALKIM,0.82,0.18,0.98,0.55,0.48
ARCLK,0.91,0.59,0.71,0.85,0.19
ASELS,0.89,0.26,0.94,0.77,0.73
BERA,0.56,0.1,0.89,0.71,0.06
BIMAS,0.78,0.58,0.8,0.37,0.47
BRISA,0.86,0.26,0.49,0.58,0.37
BRSAN,0.88,-0.01,0.81,0.89,0.43
BUCIM,0.68,0.02,0.97,0.68,0.44
CCOLA,0.75,0.69,0.81,0.78,0.08
CIMSA,0.73,0.18,0.77,0.85,0.13
DEVA,0.86,0.44,0.85,0.71,0.18
DOAS,0.92,0.71,0.76,0.75,0.41
DOHOL,0.92,0.07,0.92,0.91,0.51
ECILC,0.83,0.06,0.99,0.9,0.59
EGEEN,0.75,1.0,0.96,0.22,0.38
EGGUB,0.69,1.0,0.83,0.52,0.24
EKGYO,0.88,0.03,0.92,0.95,0.59
ENJSA,0.83,0.12,0.68,0.79,0.54
EREGL,0.82,0.12,0.96,0.87,0.02
FROTO,0.82,1.0,0.73,0.37,0.34
GARAN,0.93,0.21,0.77,0.93,0.68
GOODY,0.84,0.08,0.99,0.79,0.45
GOZDE,0.98,0.6,0.88,0.92,0.47
GSDHO,0.8,0.02,0.93,0.94,0.81
GUBRF,0.0,0.11,0.65,0.0,0.36
HALKB,0.97,0.25,0.0,0.97,0.93
HEKTS,0.41,0.03,0.65,0.38,0.12
HLGYO,0.87,0.02,0.96,0.9,0.44
IHLAS,0.88,-0.0,0.79,0.82,0.92
IHLGM,0.0,0.0,0.98,0.85,0.85
INDES,0.83,0.09,0.64,0.81,0.23
IPEKE,0.89,0.2,1.0,0.77,0.55
ISCTR,0.88,0.18,0.41,0.95,0.78
ISFIN,0.88,0.04,0.0,0.84,0.76
ISGYO,0.91,0.01,0.94,0.94,0.79
ISMEN,0.93,0.36,0.87,0.67,0.29
JANTS,0.37,0.03,0.96,0.02,0.35
KARSN,0.0,0.0,0.51,0.6,0.43
KARTN,0.51,0.25,1.0,0.0,0.63
KCHOL,0.88,0.55,0.08,0.88,0.56
KERVT,0.88,0.09,0.76,0.64,0.68
KONYA,0.0,0.48,0.99,0.0,0.56
KORDS,0.57,0.15,0.73,0.88,0.4
KOZAA,0.9,0.26,1.0,0.83,0.58
KOZAL,0.84,1.0,1.0,0.81,0.3
KRDMD,0.0,0.0,0.87,0.85,0.0
KRVGD,0.88,0.11,0.91,0.7,0.28
MPARK,0.0,0.03,0.0,0.0,0.24
NETAS,0.88,-0.14,0.77,0.69,0.46
NTHOL,0.88,-0.19,0.88,0.97,0.07
NUHCM,0.79,0.53,0.96,0.59,0.25
ODAS,0.88,-0.06,0.35,0.71,0.73
OTKAR,0.83,1.0,0.57,0.24,0.37
OYAKC,0.62,0.04,0.91,0.55,0.65
PARSN,0.72,0.22,0.73,0.82,0.39
PETKM,0.77,0.05,0.69,0.83,0.13
PGSUS,0.88,-1.0,0.18,0.86,0.23
POLHO,0.78,0.02,0.91,0.83,0.71
SAHOL,0.94,0.32,0.34,0.94,0.71
SASA,0.0,0.04,0.52,0.42,0.16
SELEC,0.85,0.13,0.82,0.76,0.8
SISE,0.9,0.07,0.82,0.9,0.17
SKBNK,0.84,0.02,0.57,0.9,0.64
SOKM,0.6,0.07,0.0,0.0,0.6
TATGD,0.8,0.17,0.9,0.77,0.63
TAVHL,0.88,-0.78,0.66,0.91,0.33
TCELL,0.89,0.26,0.76,0.83,0.54
THYAO,0.88,-0.54,0.28,0.96,0.33
TKFEN,0.71,-0.02,0.9,0.89,0.49
TOASO,0.9,0.49,0.65,0.62,0.57
TRGYO,0.83,-0.03,0.88,0.96,0.64
TSKB,0.92,0.04,0.0,0.92,0.82
TTKOM,0.89,0.12,0.59,0.75,0.78
TTRAK,0.84,1.0,0.79,0.32,0.24
TUKAS,0.78,0.06,0.74,0.52,0.96
TUPRS,0.88,-0.91,0.41,0.76,0.42
TURSG,0.91,0.14,1.0,0.78,0.45
ULKER,0.89,0.31,0.61,0.86,0.67
VAKBN,0.97,0.23,0.08,0.96,0.94
VERUS,0.59,0.11,0.98,0.35,0.33
VESTL,0.92,0.77,0.71,0.9,0.37
YATAS,0.79,0.16,0.76,0.61,0.08
YKBNK,0.95,0.08,0.36,0.95,0.87
ZOREN,0.17,-0.01,0.0,0.77,0.59
REFERANCE,1,1,1,1,1
